"","urls"
"1","https://www.vox.com/2022/4/29/23048887/oklahoma-abortion-ban-texas-six-week"
"2","https://www.vox.com/2019/5/3/18528256/john-rogers-alabama-democrat-abortion"
"3","https://www.vox.com/politics/2023/6/21/23768726/virginia-primary-election-2023-democrast-abortion-youngkin-2024"
"4","https://www.vox.com/recode/2022/7/6/23196809/period-apps-roe-dobbs-data-privacy-abortion"
"5","https://www.vox.com/2019/10/2/20895034/alabama-abortion-ban-blocked-georgia-law"
"6","https://www.vox.com/policy/2024/3/26/24104638/abortion-ivf-duckworth-regulation-reproductive-technology"
"7","https://www.vox.com/2019/9/11/20859034/ectopic-pregnancy-abortion-federalist-intrauterine-ohio-surgery"
"8","https://www.vox.com/2019/5/20/18629644/abortion-gender-gap-public-opinion"
"9","https://www.vox.com/2022/6/11/23163781/roe-v-wade-scotus-biden-abortion-executive-orders"
"10","https://www.vox.com/2022/7/14/23208518/governor-abortion-midterms-georgia-pennsylvania-michigan-kansas"
"11","https://www.vox.com/abortion"
"12","https://www.vox.com/2022/6/29/23187002/black-women-abortion-access-roe"
"13","https://www.vox.com/explainers/356314/abortion-laws-roe-wade-dobbs-decision-mifepristone-supreme-court"
"14","https://www.vox.com/politics/24128840/arizona-abortion-total-ban-law-roe-court-1864-repeal"
"15","https://www.vox.com/2019/3/27/18194710/abortion-will-be-considered-unthinkable-50-years-from-now"
"16","https://www.vox.com/2020/6/29/21306895/supreme-court-abortion-chief-justice-john-roberts-stephen-breyer-june-medical-russo"
"17","https://www.vox.com/policy-and-politics/2023/1/9/23540562/abortion-pills-medication-dobbs-roe-mifepristone"
"18","https://www.vox.com/2019/12/23/21024312/abortion-laws-2019-ohio-georgia-roe-wade"
"19","https://www.vox.com/policy-and-politics/2017/9/21/16340488/graham-cassidy-obamacare-health-care-abortion"
"20","https://www.vox.com/21456044/amy-coney-barrett-supreme-court-roe-abortion"
"21","https://www.vox.com/policy-and-politics/2019/4/19/18412384/abortion-heartbeat-bill-georgia-louisiana-ohio-2019"
"22","https://www.vox.com/scotus/357302/supreme-court-leaked-abortion-moyle-united-states"
"23","https://www.vox.com/recode/23074696/abortion-illegal-supereme-court-women-work"
"24","https://www.vox.com/scotus/355175/supreme-court-mifepristone-abortion-alliiance-hippocratic-medicine-fda"
"25","https://www.vox.com/2023/8/5/23820360/texas-abortion-ban-medical-exception"
"26","https://www.vox.com/identities/2017/1/27/14412660/mike-pence-record-abortion-reproductive-rights-march-for-life"
"27","https://www.vox.com/policy-and-politics/2019/6/10/18659919/iowa-abortion-laws-2020-election-biden-hyde-amendment"
"28","https://www.vox.com/2019/5/30/18644611/missouri-last-abortion-clinic-2019-planned-parenthood"
"29","https://www.vox.com/2016/3/9/11181870/clinton-sanders-abortion-questions-fox"
