"","x"
"1","https://www.cnn.com/2024/07/10/us/alabama-death-row-inmate-autopsy-lawsuit/index.html"
"2","https://www.cnn.com/2024/07/10/politics/trump-burgum-rubio-running-mate/index.html"
"3","https://www.cnn.com/2024/07/09/opinions/gop-strategy-on-abortion-trump-softening-rnc-filipovic/index.html"
"4","https://www.cnn.com/2024/07/06/us/angel-baby-doe-shelby-stotts-texas/index.html"
"5","https://www.cnn.com/2024/07/05/entertainment/lindsay-hubbard-summer-house-pregnant/index.html"
"6","https://www.cnn.com/2024/04/28/politics/state-abortion-ballot-measure-vote-dg/index.html"
"7","https://www.cnn.com/2024/07/02/health/emtala-abortion-reminder-letter/index.html"
"8","https://www.cnn.com/kfile-ed-martin-rnc-platform-committee-anti-abortion-exceptions/index.html"
"9","https://www.cnn.com/2024/06/28/politics/iowa-supreme-court-abortion-ban/index.html"
"10","https://www.cnn.com/us/abortion-access-restrictions-bans-us-dg/index.html"
"11","https://www.cnn.com/2024/06/27/opinions/emtala-scotus-ruling-emergency-abortion-idaho-farmer/index.html"
"12","https://www.cnn.com/2024/06/26/health/emtala-emergency-care-scotus/index.html"
"13","https://www.cnn.com/2024/06/27/opinions/moms-vote-2024-election-trump-biden-saujani/index.html"
"14","https://www.cnn.com/2024/06/26/politics/media-release-supreme-court-abortion/index.html"
"15","https://www.cnn.com/2024/06/27/politics/idaho-abortion-supreme-court/index.html"
"16","https://www.cnn.com/2024/06/27/politics/supreme-court-emergency-abortion-idaho/index.html"
"17","https://www.cnn.com/politics/live-news/supreme-court-emergency-abortion-ruling-06-26-24/index.html"
"18","https://www.cnn.com/2024/06/26/politics/wisconsin-supreme-court-abortion-draft-order-leaks/index.html"
"19","https://www.cnn.com/2024/06/26/politics/supreme-court-abortion-idaho-bloomberg/index.html"
"20","https://www.cnn.com/2024/06/26/health/birth-control-drops-after-abortion-bans/index.html"
"21","https://www.cnn.com/2024/06/26/style/last-safe-abortion-photos/index.html"
"22","https://www.cnn.com/2024/06/25/health/surgeon-general-gun-violence-advisory/index.html"
"23","https://www.cnn.com/2024/06/25/health/gun-violence-stop-the-bleed-children-gupta/index.html"
"24","https://www.cnn.com/2024/06/24/politics/sotomayor-dobbs-obergefell-supreme-court-analysis-biskupic/index.html"
"25","https://www.cnn.com/2024/06/02/politics/supreme-court-what-to-watch-trump-immunity-abortion-guns/index.html"
"26","https://www.cnn.com/2024/06/24/politics/supreme-court-to-decide-whether-states-can-restrict-gender-affirming-care-for-minors/index.html"
"27","https://www.cnn.com/2024/06/24/health/study-infant-mortality-texas-invs/index.html"
"28","https://www.cnn.com/2024/06/24/politics/biden-campaign-abortion-ad-trump/index.html"
"29","https://www.cnn.com/2024/06/23/politics/white-house-dobbs-abortion-anniversary/index.html"
"30","https://www.cnn.com/2024/06/22/us/roe-v-wade-overturned-2-years/index.html"
"31","https://www.cnn.com/2024/06/21/politics/state-abortion-laws-post-roe/index.html"
"32","https://www.cnn.com/2024/06/21/business/fertility-clinic-ivf-religious-groups/index.html"
"33","https://www.cnn.com/2024/06/19/health/abortion-clinics-in-banned-states-pivot/index.html"
"34","https://www.cnn.com/2024/06/17/politics/abortion-eeoc-rule-louisiana-mississippi/index.html"
"35","https://www.cnn.com/2024/06/17/us/louisiana-mississippi-child-abuction-death-charges/index.html"
"36","https://www.cnn.com/2024/06/17/opinions/birth-control-contraception-gop-trump-project-2025-finney/index.html"
"37","https://www.cnn.com/2024/06/15/politics/abortion-judge-matthew-kacsmaryk-supreme-court-mifepristone/index.html"
