"","x"
"1","/2024/7/16/trump_legal"
"2","/2024/7/16/rnc_protest"
"3","/2024/7/16/vance_abortion"
"4","/2024/7/16/headlines/trump_names_ohio_senator_jd_vance_as_running_mate"
"5","/2024/7/15/trump_shot_jeff_sharlet"
"6","/2024/7/15/milwaukee_rnc_dan_kaufman"
"7","/2024/7/15/headlines/many_houstonians_remain_without_power_one_week_after_hurricane_beryl_amid_stifling_heat_wave"
"8","/2024/7/12/headlines/arkansas_blocks_abortion_ballot_amendment_on_technicality"
"9","/2024/7/11/debate_should_biden_stay_in_race"
"10","/2024/7/9/headlines/mass_deportations_state_led_abortion_bans_gop_adopts_trumps_convention_platform"
"11","/2024/7/4/hope_and_resistance_voices_of_a"
"12","/2024/7/3/as_authoritarianism_sweeps_the_globe_will"
"13","/2024/7/2/supreme_court_immunity_donald_trump"
"14","/2024/7/1/french_far_right_wins_big_in"
"15","/2024/6/28/biden_and_trump_debate_abortion"
"16","/2024/6/28/biden_trump_debate_immigration"
"17","/2024/6/28/headlines/trump_lies_throughout_first_presidential_debate_as_biden_delivers_fumbling_performance"
"18","/2024/6/27/headlines/leaked_supreme_court_opinion_would_allow_idaho_doctors_to_perform_some_emergency_abortions"
"19","/2024/6/25/headlines/abortion_rights_advocates_mark_2_years_since_scotus_overturned_roe_v_wade"
"20","/2024/6/24/project_2025_ayanna_pressley"
"21","/2024/6/14/headlines/scotus_keeps_mifepristone_access_in_place_but_rights_advocates_warn_the_challenges_are_not_over"
"22","/2024/6/14/headlines/reproductive_rights_groups_protest_as_brazilian_lawmakers_advance_anti_abortion_bill"
"23","/2024/6/4/headlines/texas_supreme_court_rejects_lawsuits_challenging_abortion_ban"
"24","/2024/5/29/mexico_election"
"25","/2024/5/24/headlines/louisiana_moves_to_classify_abortion_pills_as_controlled_substances"
"26","/2024/5/2/headlines/arizona_senate_votes_to_repeal_1864_abortion_ban"
"27","/2024/5/1/headlines/floridas_six_week_abortion_goes_into_effect"
"28","/2024/4/26/emory_protests"
"29","/2024/4/26/scotus_abortion"
"30","/2024/4/26/ari_berman"
"31","/2024/4/26/ari_berman"
"32","/2024/4/25/headlines/scotus_hears_case_on_idaho_abortion_ban_which_only_allows_emergency_care_if_patient_risks_death"
"33","/2024/4/25/headlines/three_arizona_republicans_join_democrats_to_repeal_1864_abortion_ban_in_state_house"
