"","..topic1","..topic2","..topic3","..topic4","outlet"
"1",care,court,one,state,"Mother Jones"
"2",health,supreme,people,election,"Mother Jones"
"3",people,law,new,republicans,"Mother Jones"
"4",state,case,like,republican,"Mother Jones"
"5",women,rights,group,trump,"Mother Jones"
"6",states,justice,american,voters,"Mother Jones"
"7",pregnancy,federal,told,democratic,"Mother Jones"
"8",medical,roe,years,democrats,"Mother Jones"
"9",texas,decision,many,party,"Mother Jones"
"10",pregnant,legal,public,campaign,"Mother Jones"
