"","urls","titles","authors","date","doc_id"
"1","https://www.motherjones.com/politics/2024/05/dobbs-had-the-opposite-effect-conservatives-intended/","Dobbs Had the Opposite Effect Conservatives Intended","Julianne McShane","May 17, 2024","text1"
"2","https://www.motherjones.com/politics/2024/02/telehealth-abortions-continue-to-rise-even-in-banned-states-a-new-study-shows/","Telehealth Abortions Continue to Rise—Even in Banned States, A New Study Shows","Julianne McShane","February 28, 2024","text2"
"3","https://www.motherjones.com/politics/2024/06/moyle-idaho-supreme-court-abortion-leak/","Supreme Court Avoids Deciding Whether Women Can Get Emergency Abortions","Pema Levy","June 26, 2024","text3"
"4","https://www.motherjones.com/politics/2024/05/louisiana-abortion-drugs-mifepristone-misoprostol-controlled-dangerous-substances-prescription/","Louisiana Classifies Two Abortion Drugs as Controlled Dangerous Substances","Pema Levy","May 25, 2024","text4"
"5","https://www.motherjones.com/politics/2024/05/the-governor-of-kansas-vetoed-four-anti-abortion-measures-republicans-rammed-them-through-anyway/","The Governor of Kansas Vetoed Four Anti-Abortion Measures. Republicans Rammed Them Through Anyway.","Julianne McShane","May 2, 2024","text5"
"6","https://www.motherjones.com/politics/2024/03/abortion-mifepristone-supreme-court-domestic-violence-abuse/","Anti-Abortion Activists Are Peddling Another Lie About Abortion Pills—And We Debunked It","Julianne McShane","March 20, 2024","text6"
"7","https://www.motherjones.com/politics/2024/07/gop-republican-platform-fetal-personhood-abortion-ban/","The GOP’s “Softened” Abortion Platform Is a Ruse","Julianne McShane","July 9, 2024","text7"
"8","https://www.motherjones.com/politics/2024/06/trumps-lies-about-abortion-in-america-were-particularly-appalling/","Trump’s Lies About Abortion in America Were Particularly Appalling","Julianne McShane","June 27, 2024","text8"
"9","https://www.motherjones.com/politics/2024/07/rnc-platform-ed-martin-abortion-ban-softening-gop/","RNC Official: Nothing In Our Platform Says We Won’t Ban Abortion Nationwide","Julianne McShane","July 15, 2024","text9"
"10","https://www.motherjones.com/politics/2024/06/the-supreme-court-just-unanimously-struck-down-a-challenge-to-the-abortion-pill/","The Supreme Court Just Unanimously Struck Down a Challenge to the Abortion Pill","Nina Martin","June 13, 2024","text10"
"11","https://www.motherjones.com/politics/2024/05/new-york-crisis-pregnancy-pro-life-abortion-reversal-letitia-james-lawsuit/","New York Is Suing Crisis Pregnancy Centers for Promising “Abortion Reversal”","Julianne McShane","May 6, 2024","text11"
"12","https://www.motherjones.com/politics/2024/04/trump-helped-overturn-roe-now-he-wants-to-run-away-from-the-consequences/","Trump Helped Overturn Roe. Now He Wants to Run Away From the Consequences.","Julianne McShane","April 8, 2024","text12"
"13","https://www.motherjones.com/politics/2024/06/democrats-are-trying-to-repeal-a-zombie-law-that-could-ban-abortion-nationwide/","Democrats Are Trying to Repeal a Zombie Law That Could Ban Abortion Nationwide","Julianne McShane","June 21, 2024","text13"
"14","https://www.motherjones.com/politics/2024/04/florida-supreme-court-approves-a-six-week-ban-and-lets-an-abortion-rights-ballot-measure-move-forward/","Florida Supreme Court Approves a Six-Week Ban—And Lets an Abortion Rights Ballot Measure Move Forward","Julianne McShane","April 1, 2024","text14"
"15","https://www.motherjones.com/politics/2024/07/trump-vance-running-mate-anti-abortion-ticket/","Anti-Abortion Firebrands Are Celebrating the Trump-Vance Ticket","Julianne McShane","July 15, 2024","text15"
"16","https://www.motherjones.com/politics/2024/04/harris-trump-abortion-arizona/","Kamala Harris Isn’t Letting Trump Dodge on Abortion","Ali Breland","April 13, 2024","text16"
"17","https://www.motherjones.com/politics/2024/05/texas-is-letting-a-maternal-mortality-skeptic-investigate-maternal-mortality/","Texas Is Letting a Maternal-Mortality Skeptic Investigate Maternal Mortality","Nina Martin","May 24, 2024","text17"
"18","https://www.motherjones.com/politics/2024/03/supreme-court-mifepristone-standing/","Supreme Court Appears Unlikely to Roll Back Access to Medication Abortion","Pema Levy","March 26, 2024","text18"
"19","https://www.motherjones.com/politics/2024/05/donald-trump-abortion-polling/","A New Poll Shows Trump’s Abortion Problem Isn’t Going Away","Pema Levy","May 7, 2024","text19"
