"title","author","date","body","url","just_stop_oil"
"Just Stop Oil activists get conditional bail","By Shivani Chaudhari",2024-07-04,"Police investigating an incident in which private jets were sprayed with orange paint by Just Stop Oil activists have released two women on bail. Jennifer Kowalski, 28, from Dumbarton, and Cole Macdonald, 22, from Brighton, were arrested after angle grinders were used to break through fencing at Stansted Airport at about 05:00 BST on 5 June. Both women deny charges of criminal damage, aggravated trespass and interfering with national infrastructure. They were granted conditional bail and released from HMP Peterborough on Wednesday. Just Stop Oil had said the private jet of popstar Taylor Swift was targeted at the Essex airport, but police said it was not there at the time. Two private aircraft on a taxiway were sprayed with fire extinguishers loaded with orange paint during the incident, police said. Chelmsford Magistrates' Court had previously heard 75 flights were disrupted during a 38-minute delay, affecting thousands of passengers. The pair were originally denied bail and were due to appear for another hearing at Chelmsford Crown Court on 22 July. Follow Essex news on Facebook, Instagram and X. Got a story? Email eastofenglandnews@bbc.co.uk or WhatsApp us on 0800 169 1830 Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/crge8vjg8y3o",1
"Just Stop Oil pair sentenced for snooker protest","By Oli Constable",2024-07-10,"A Just Stop Oil protester who jumped onto a snooker table and covered it in orange powder during the World Snooker Championship has been given an 18-month community order. Edred Whittingham, 26, disrupted a match between Robert Milkins and Joe Perry at Sheffield's Crucible Theatre on 17 April 2023, with an international TV audience witnessing the protest. On Wednesday at Sheffield Magistrates' Court, he was also told to pay £899 in compensation for damaging the table and asked to carry out 200 hours of unpaid work. Whittingham, of Exeter, denied a criminal damage charge but was found guilty after a one-day trial in May. Co-defendant Margaret Reid, 53, from Kendal, in Cumbria, was given a two-year community order and told to carry out 100 hours of unpaid work after being found guilty of attempting to cause criminal damage on another table. Completion of the first-round match was delayed until the following day as a result of the protest, with Whittingham throwing dyed corn starch powder. Reid's attempts to disrupt the match on the other table, on which Mark Allen and Fan Zhengyi were playing, were foiled when she was stopped by referee Olivier Marteel. District Judge Daniel Curtis told the pair prison was ""almost inevitable"" if they continued their criminal activities. Spectators were ""robbed"" of entertainment when the matches were stopped, World Snooker Tour chief executive officer Simon Brownell said in a victim impact statement read to court. ""They bought a ticket to our event and gave their best effort to destroy it, without a care in the world for the thousands of people who saved their money to attend,"" he said. Security costs had increased by ""hundreds of thousands of pounds"" following the incident, he added. In mitigation for Whittingham, the court heard the type of substance was selected ""not to cause maximum damage but simply to have a visual effect as part of the protest"". Representing herself in court, Reid said: ""I'm a pretty boring middle-aged person that, like a lot of people, tries to do their best - it would have been much easier to stay at home and pretend my little community was going to be fine."" Sentencing the pair to community orders, Judge Curtis said some people ""will be highly critical"" of not sending them to prison, adding he had to apply the sentencing guidelines. Outside court, Whittingham told the BBC he would continue protesting, adding: ""We're facing a climate crisis. ""Prison time, community service, it's not going to deter us."" Whittingham was also told to carry out a 25-day rehabilitation order along with paying £390 in trial costs. Reid was given a 10-day rehabilitation order, told to pay £390 trial costs and handed a £114 victim surcharge. Follow BBC Yorkshire on Facebook, X (formerly Twitter), and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk. Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/c1we0pzw8pwo",1
"Two cleared over Just Stop Oil rugby final protest",NA,2024-06-25,"Two Just Stop Oil (JSO) protesters who invaded the pitch at Twickenham during a rugby final have been cleared of criminal damage. Samuel Johnson, 41, a construction worker from Essex, and Patrick Hart, 38, a GP from Bristol, threw orange powder during the Gallagher Premiership final between Saracens and Sale in May 2023. They were acquitted by a jury at Kingston Crown Court on Tuesday. The pair still face a charge of aggravated trespass, which has been sent back to Wimbledon Magistrates' Court to be dealt with at a later date. JSO said prosecutors struggled to prove that the two men had intended to cause criminal damage, because they would not have realised how difficult it would be to clean the powder paint from the Twickenham pitch. Similar paint was thrown by activists during the Ashes at Lord's and was easily cleaned up with a leaf blower, but the hybrid pitch at Twickenham is a combination of natural and plastic grass and much more difficult to clean. Mr Johnson said: ""I took part in this action because our politicians continue to issue licences, knowing full well it will result in the deaths of millions of people. “Thousands have died due to extreme heat brought on by climate change while we were on trial. ""This is happening now.” Dr Hart said: “I told the jury that I am taking the most effective action I can, on the best available evidence, to protect the health of my patients. ""To put it simply: I am doing my duty as a doctor.” The Crown Prosecution Service said it respected the jury's decision. Listen to the best of BBC Radio London on Sounds and follow BBC London on Facebook, X and Instagram. Send your story ideas to hello.bbclondon@bbc.co.uk Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/ck55grde7l5o",1
"Stonehenge covered in powder paint by Just Stop Oil","By Leigh Boobyer",2024-06-19,"Part of Stonehenge has been covered in orange powder paint by protesters. Two Just Stop Oil campaigners sprayed the powder paint on the historic site near Salisbury, Wiltshire, at about 12:00 BST on Wednesday. The move comes the day before celebrations begin for the Summer Solstice at the 5,000-year-old landmark. Wiltshire Police confirmed two people had been arrested on suspicion of damaging the ancient monument. Just Stop Oil said the orange powder paint was cornflour and it would ""wash away with rain"". The group named the two protesters as Niamh Lynch, a 21-year-old student from Oxford, and Rajan Naidu, a 73-year-old from Birmingham, in a statement. Prime Minister Rishi Sunak condemned the incident as a “disgraceful act of vandalism”. Leader of the Labour Party Sir Keir Starmer said the damage was ""outrageous"" and described Just Stop Oil as ""pathetic"". Members of the public were heard shouting ""no"" and seen running to intervene as the campaigners ran up to the stone circle at the Unesco world heritage site. Nick Merriman, chief executive of English Heritage, said the vandalism was ""deeply saddening"". He told the BBC's Today programme the stones are ""testament to people's desire to connect to nature"", and while he respected the rights of people to protest, he hoped they would channel their activism away from museum sites in future.  BBC correspondent, Paul Clifton, the first reporter to get to the scene shortly after the incident, said the three stones closest to the public path were ""splattered"" with the powder. He added that many of the tourists visiting the monument were ""slightly bemused"". ""Stonehenge managers and security guards are standing by the path,"" he said. ""I've heard a suggestion that because it is powder paint and the weather is dry and sunny, it may perhaps be removed without lasting damage, but they will need experts to inspect the stone before forming an opinion."" Just Stop Oil said the motivation behind the incident was to demand the next UK government end the extraction and burning of oil, gas and coal by 2030. A spokesperson for the group said: ""Continuing to burn coal, oil and gas will result in the death of millions. ""We have to come together to defend humanity or we risk everything."" Mark Verbinnen, councillor for Amesbury East and Bulford, arrived at the site a few minutes after the incident. He said many members of staff at the site were left ""shaken"", particularly one who attempted to tackle a protester. Mike Pitts, archaeologist and author of How to Build Stonehenge, said the impact of the action was ""potentially quite concerning"". He said: “The monument has been fenced off for decades and the megaliths' surfaces are protected. ""They are sensitive and they are completely covered in prehistoric markings which remain to be fully studied and any surface damage to the stones is hugely concerning. “A rich garden of life has grown on the megaliths, an exceptional lichen garden has grown. So it’s potentially quite concerning.” The orange powder was removed from the stones using blown air, which has helped preserve the rare lichen on the surface of the stones, Mr Merriman confirmed. A spokesman for Wiltshire Police said: ""We responded to a report that orange paint had been sprayed on some of the stones by two suspects. ""Our enquiries are ongoing and we are working closely with English Heritage.""  Follow BBC Wiltshire on Facebook, X and Instagram. Send your story ideas to us on email or via WhatsApp on 0800 313 4630. Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/cw44mdee0zzo",1
"Silverstone track invaders await appeal ruling","By Martin Heath and PA Media",2024-06-27,"Five Just Stop Oil activists who disrupted the 2022 British Grand Prix must wait to discover if they have successfully challenged their public nuisance convictions. Three of the protesters got onto the Silverstone Circuit in Northamptonshire during the race. At an appeal hearing on Wednesday, the group's lawyers argued their convictions were ""unsafe"". Three appeal court judges will give a written ruling at a later date. Alasdair Gibson, Louis McKechnie, David Baldwin, Emily Brocklebank and Joshua Smith were convicted at Northampton Crown Court last year of risking ""serious harm"" to drivers and race marshals during the track invasion. They had all denied causing a public nuisance and argued they had followed a ""meticulous"" safety plan. McKechnie, 23, and Brocklebank, 26, have previous convictions for gluing themselves to the frame of a £70m Van Gogh painting days before the F1 protest. They were given suspended prison sentences of 12 months and six months respectively, both suspended for two years. Baldwin, who is 48, Gibson, 23, and Smith, 30, were handed 12-month community orders. At the appeal hearing, the group's lawyers argued their convictions were ""unsafe"". The protesters' lawyers argued that only a ""handful"" of individuals were potentially put at risk by their actions, which did not amount to an impact on ""a section of the public"" as required by the relatively-new public nuisance offence. Nadesh Karu, representing Smith and Brocklebank, said Silverstone's Wellington Straight, where the track invasion took place, was not open to the public. He added that prosecutors accepted the 115,000 spectators were not at risk of serious harm. Simon Jones, for the Crown Prosecution Service, told the court: ""From the moment each individual jumped the first fence, they were going into a dangerous prohibited area,"" he said. ""There were clearly sections of the public who were at risk."" Brocklebank, of Yeadon, Leeds, Gibson, from Aberdeen, McKechnie, from Manchester, and Smith, from Oldham, went on to the race circuit during the protest. Baldwin, from Stonesfield in Oxfordshire, the only member of the five to attend court, was found in a car park along with glue, cable ties and a Just Stop Oil banner. Lord Justice Holroyde said appeal judges needed to reflect on legal arguments, adding that the cases took the court into ""new territory"". Follow Northamptonshire news on Facebook, Instagram and X. Got a story? Email eastofenglandnews@bbc.co.uk or WhatsApp us on 0800 169 1830 Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/clkygxyrl3zo",1
"Dozens of campaigners held over alleged airport plans",NA,2024-06-28,"Dozens of Just Stop Oil supporters suspected of planning to disrupt airports this summer have been arrested across England. The Metropolitan Police said 27 people were taken into custody, including some believed to be ""key organisers"" for the climate group. Six arrests were made in east London, four at Gatwick airport, and the rest from forces across the country. The force added the six who were arrested on Thursday evening at a community centre in London were there ""as part of a publicly-advertised event promoting airport disruption"". The operation took place in Gloucestershire, Oxfordshire, Devon, Essex, Manchester, Surrey, Sussex, Norfolk and West Yorkshire, a Met spokesperson said. The 27 were detained under the Public Order Act which makes it illegal to conspire to disrupt national infrastructure. Four people arrested on Tuesday after being identified at Gatwick Airport and have since been released on bail.  Ch Supt Ian Howells added: “We know Just Stop Oil are planning to disrupt airports across the country this summer which is why we have taken swift and robust action now. ""Our stance is very clear that anyone who compromises the safety and security of airports in London can expect a strong response from officers or security staff. ""Airports are complex operating environments which is why we are working closely with them, agencies and other partners on this operation."" Suspects released on bail are subject to conditions which include not travelling within one kilometre of any UK airport unless passing by while on a mode of transport. In response to the wave of arrests, a Just Stop Oil spokesman said: ""It isn’t a massive surprise."" He added that disruption is necessary because people are ""dropping dead around the world"" from extreme heat, and ""tipping points"" are being passed. Listen to the best of BBC Radio London on Sounds and follow BBC London on Facebook, X and Instagram. Send your story ideas to hello.bbclondon@bbc.co.uk Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/ce98dqn19plo",1
"Heathrow Airport granted court order against protests","By James W Kelly & PA Media",2024-07-09,"Heathrow Airport has been granted a High Court injunction against potential environmental protesters on the site. On Tuesday, lawyers for the airport appeared before a judge in London to ask for an order preventing demonstrators from trespassing on the site. Katharine Holland KC, for the airport, told the court that the site was a ""clear and obvious target for planned disruptive action"" by protesters affiliated with Just Stop Oil and ""other environmental campaigns"". It follows two Just Stop Oil activists being arrested on suspicion of criminal damage after appearing to spray orange paint over private jets at Stansted Airport. Ms Holland said Heathrow Airport was featured in a video published on the Just Stop Oil website, which represented ""the identification of a specific threat to this location"". The court was told that the airport - Europe's busiest - handles more than 1,300 flights and about 227,000 passengers on average daily, with the actions of potential protesters risking ""significant"" harm. In written submissions, Ms Holland continued: ""There would also be severe disruption to passengers, and the proper operations of the airport more generally."" At the end of the hearing, Mr Justice Julian Knowles granted the injunction, which lasts for five years and will be reviewed every 12 months. He said: ""If these protesters want to stand on public land near the entrances to Heathrow Airport then they can do. ""What they can't do is go on to private land and do it."" Following the hearing, a Heathrow Airport spokesperson said: ""We agree that aviation must decarbonise, however disrupting people's well-earned travel plans with irresponsible action is not the way to deliver the transition to net zero. ""This isn't a decision we've taken lightly, but we cannot condone activity that endangers the safety of our passengers and colleagues."" The move comes days after Stansted, Manchester and East Midlands airports were given similar injunctions against would-be protesters. Listen to the best of BBC Radio London on Sounds and follow BBC London on Facebook, X and Instagram. Send your story ideas to hello.bbclondon@bbc.co.uk Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/c97dqx2wy9vo",1
"Third arrest after Stonehenge sprayed with powder paint","By Emma Grimshaw & PA Media",2024-06-29,"A third person has been arrested in connection with a Just Stop Oil protest in which part of Stonehenge was covered in orange powder paint. Campaigners sprayed the substance on the historic site near Salisbury, Wiltshire, at about 12:00 BST on Wednesday 19 June. A man aged in his 30s, from Essex, was detained by Met Police officers on Thursday. He has been arrested on suspicion of aiding and abetting criminal damage, aiding and abetting unauthorised entry and damage to an ancient monument, and aiding and abetting aggravated trespass. He has been released on bail. Two other people, a man in his 70s and a woman in her 20s, were previously arrested in connection with the incident. They remain on bail. Following the protest, English Heritage said experts had quickly removed the orange powder from the stones. It confirmed there appeared to be no visible damage from the paint but the act of removing it could erode the fragile stone and damage the lichens. Just Stop Oil said the motivation behind the incident was to demand the next UK government end the extraction and burning of oil, gas and coal by 2030. Follow BBC Wiltshire on Facebook, X and Instagram. Send your story ideas to us on email or via WhatsApp on 0800 313 4630. Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/c7249jrgrv0o",1
"'Slow-walk' protests banned at 1,200 locations","By Tom Wall and Josephine Casserly",2024-07-02,"The scale of efforts by oil companies and public bodies to protect their premises from environmental protesters can be revealed in new BBC analysis. More than 400 demonstrators are named in court orders that restrict protests at more than 1,200 locations, the data gathered by File on 4 shows. The civil injunctions - in force at places like oil terminals, petrol stations and racetracks across England and Wales - also apply to “persons unknown”, meaning anyone could be prosecuted. The enforcement of civil injunctions has been reported before, but our analysis is the first time the extent of their use has been calculated. Oil companies and public bodies say the orders are needed to prevent disruptive and dangerous protests. But a lawyer acting for protesters says they are unfair and amount to a “privatised system of justice”. Raj Chada, the head of criminal law at Hodge Jones and Allen, has told us his firm had no injunction cases until 2021, but it is now representing close to 80 individuals. “There was the odd case previously, but the scope and number of [protest] injunctions is now unprecedented,” he says. Listen on BBC Sounds now, or on Radio 4 at 20:00 on Tuesday 2 July and 11:00 on Wednesday 3 July The anti-protest injunctions limit what people can do, who they can associate with and where they can go. The punishment for breaching one can be up to two years imprisonment or an unlimited fine - a heavier penalty than for equivalent offences in criminal law. Eight have been taken out by oil companies including Shell, Esso and ExxonMobil. National Highways and Transport for London account for five more - and the other two were taken out by local councils (one by North Warwickshire and a joint injunction by Essex and Thurrock). These organisations argue the measures are needed to deter protesters, because police can only act after an offence has been committed. However, lawyers acting for the protesters argue that civil injunction proceedings lack some of the safeguards of the criminal system. A civil injunction application can be made without the knowledge of the defendant or any representation in court. Once an order is granted, attempts should be made to inform those named - including putting up signs, sending emails to protest groups and serving papers on individuals in their homes. Few applications to the High Court are challenged because legal aid is not available for the initial hearing, says lawyer Raj Chada. Protesters can argue their case at a second hearing, but must abide by the injunction's rules until then. Breaching an injunction is not technically a criminal offence - however, local authorities can apply for special powers to give police the power of arrest. Sarah Benn, a retired GP from Birmingham, was imprisoned for 32 days in 2022 for repeatedly breaching an injunction preventing protests near Kingsbury Oil Terminal in Warwickshire, the largest inland oil storage depot in the UK. Her breach consisted of protesting on a grass verge and sitting on the private road leading into the terminal. “They could easily have… arrested us for obstruction of the highway,” she says, “but because [we had] breached the High Court injunction we all went to prison.” Benn was one of 10 people given custodial sentences for breaching the injunction three or more times. Fifty-one people spent time in prison on remand after being arrested for breaking the injunction.  North Warwickshire Borough Council - which took out the injunction - has declined to comment as it is applying to the High Court to renew the measure for three more years. However, court documents filed by the council’s lawyers claim the actions of the protesters, which included entering the site and climbing oil storage tanks, could have led to an explosion affecting the entire area. Oil companies on the Kingsbury site have declined to comment. Valero Energy, which operates out of the terminal, has a separate anti-protest injunction in place. A Freedom of Information request submitted by the BBC shows North Warwickshire council officers met oil company representatives 10 times, partly in relation to obtaining the injunction. The council does not hold minutes of the meetings. The request also reveals the council spent £155,000 on legal fees in the process. Lawyer Raj Chada argues the proliferation of injunctions amounts to “private justice” - only available to those who can afford to pay. Protesters risk being ordered to pay their opponents’ legal bills if they make an unsuccessful challenge to the injunction, he says. “[This} can run to hundreds of thousands of pounds.” The environmental group, Friends of the Earth, is now taking a case to the European Court of Human Rights, challenging the use of anti-protest injunctions in the UK. File on 4 has contacted the other organisations to have successfully applied for civil injunctions. National Highways says it is unable to comment due to the general election, but it has previously said it sought injunctions to deter extremely dangerous and reckless protests on motorways. Transport for London says it took out injunctions to ensure London’s road network could operate safely and that emergency service vehicles could move freely through the city. Essex County Council and Thurrock Council say their injunction does not restrict anyone’s right to carry out lawful protest. “It simply seeks to stop protestors from unlawfully blocking or damaging the public highway as part of that protest,” says a spokesperson. Shell says the injunctions are not about preventing freedom of expression but preventing “unlawful and dangerous protests”. Esso and ExxonMobil told us they were unable to comment on active litigation matters. Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/cjeegzv09l3o",0
"Women deny £52k spray paint damage to private jets","By Alex Pope  & PA Media",2024-06-22,"Two women have denied causing £52,000 worth of damage after private jets were sprayed with orange paint by Just Stop Oil activists at Stansted Airport. Jennifer Kowalski, 28, and Cole Macdonald, 22, pleaded not guilty to causing criminal damage and interfering with national infrastructure. Ms Macdonald, of Baker Street, Brighton, East Sussex, and Ms Kowalski, of Williamson Avenue, Dumbarton, in West Dumbartonshire, were not asked to enter pleas to a third charge of aggravated trespass. Just Stop Oil had said the private jet of popstar Taylor Swift was at the Essex airport, but police said it was not there at the time. The pair were accused of using angle grinders to break through an airport fence at about 05:00 BST on Thursday before entering a taxiway with fire extinguishers filled with orange spray paint. Prosecutors said the cost of cleaning up the paint was £52,000, but the full extent of the damage to the fence and extra security was not known. Chelmsford Magistrates' Court heard 75 flights were disrupted during a 38-minute delay, affecting thousands of passengers. The pair were denied bail and were due to appear for another hearing at Chelmsford Crown Court on 22 July. Follow Essex news on Facebook, Instagram and X. Got a story? Email eastofenglandnews@bbc.co.uk or WhatsApp us on 0800 169 1830 Copyright 2024 BBC. All rights reserved.  The BBC is not responsible for the content of external sites. Read about our approach to external linking. ","https://www.bbc.com/news/articles/ck55kedn98jo",1
